event_id|time|elapsed|dev|rts|seq|L|S|M|port|cancel|fanout|send_event_id|type
1189|4.0|0.0|n_14_10|1|1189|[]|{"lastFlipTime": 0.65272, "spins": [1, -1, -1, 1, -1], "spin": 1, "rts": 1, "rng": 753169796, "times": [2.39363, 2.74735, 3.27864, 4.11357, 3.10925]}||in|||1187|recv
608|1.0|0.0|n_13_12|0|608|[]|{"lastFlipTime": 0.138071, "spins": [-1, 1, 1, -1, 1], "rng": 1061351552, "times": [1.53597, 1.30978, 1.67608, 0.209222, 0.656731], "spin": -1}||in|||607|recv
308|0.0|0.0|n_3_10|0|308|[]|{"spins": [1, 1, 1, -1, 1], "rng": 1914664462, "times": [0.807902, 1.10507, 0.300049, 5.0733, 2.40271], "spin": 1}||in|||307|recv
237|0.0|0.0|n_1_4|0|237|[]|{"spins": [1, 1, 1, -1, 1], "rng": 2928619696, "times": [0.382913, 0.932686, 0.314581, 0.306229, 1.65688], "spin": 1}||||||init
485|0.0|0.0|n_13_8|0|485|[]|{"spins": [-1, -1, 1, 1, -1], "rng": 2182703331, "times": [0.67688, 0.426113, 0.16284, 2.17439, 0.868576], "spin": -1}||in|||482|recv
884|2.0|0.0|n_4_7|0|884|[]|{"lastFlipTime": 0.290857, "spins": [-1, -1, -1, -1, -1], "rng": 932507167, "times": [1.81818, 0.561234, 0.988281, 0.662919, 0.860635], "spin": -1}||in|||882|recv
710|1.0|0.0|n_15_8|1|710|[]|{"lastFlipTime": 0.0238769, "spins": [-1, -1, 1, -1, 1], "spin": -1, "rts": 1, "rng": 3219223700, "times": [0.312181, 0.659376, 1.6248, 1.22222, 1.28032]}||in|||707|recv
881|2.0|0.0|n_15_3|1|881|[]|{"spins": [1, -1, 1, 1, 1], "rng": 2867043468, "times": [0.404163, 0.424253, 1.72655, 0.702212, 1.29622], "spin": 1, "rts": 1}||in|||877|recv
941|2.0|0.0|n_0_14|0|941|[]|{"lastFlipTime": 0.020688, "spins": [-1, 1, 1, -1, -1], "rng": 881203967, "times": [1.6046, 1.26091, 2.26939, 2.09837, 0.344294], "spin": -1}||in|||937|recv
957|3.0|0.0|n_6_3|0|957|[]|{"lastFlipTime": 0.602701, "spins": [1, 1, -1, -1, 1], "rng": 1080461413, "times": [2.23429, 1.59683, 3.53088, 1.60511, 0.865735], "spin": 1}|{"spin": 1, "time": 2.23429}|out|True|1||send
149|0.0|0.0|n_6_2|1|149|[]|{"spins": [-1, 1, -1, -1, 1], "rng": 2780994125, "times": [0.434636, 2.92738, 1.44413, 0.602701, 2.35909], "spin": -1, "rts": 1}||||||init
59|0.0|0.0|n_12_11|0|59|[]|{"spins": [1, -1, 1, 1, 1], "rng": 3166366791, "times": [0.304859, 0.140808, 1.30978, 0.656731, 2.45935], "spin": 1}||||||init
1031|3.0|0.0|n_5_1|0|1031|[]|{"lastFlipTime": 0.341438, "spins": [-1, 1, 1, 1, 1], "rng": 241366628, "times": [3.22032, 0.982637, 2.92738, 2.35909, 2.08208], "spin": -1}||in|||1027|recv
1179|4.0|0.0|n_6_13|0|1179|[]|{"spins": [-1, -1, -1, -1, 1], "rng": 1695142080, "times": [1.19177, 1.66142, 0.657243, 2.10339, 4.88399], "spin": -1}||in|||1177|recv
774|2.0|0.0|n_10_9|1|774|[]|{"spins": [-1, -1, -1, -1, -1], "rng": 2105671696, "times": [0.712809, 1.05782, 1.74988, 0.839262, 1.09915], "spin": -1, "rts": 1}||in|||772|recv
231|0.0|0.0|n_15_12|0|231|[]|{"spins": [-1, -1, 1, -1, -1], "rng": 1049764767, "times": [1.40888, 1.90366, 0.194286, 0.148708, 0.292212], "spin": -1}||||||init
913|2.0|0.0|n_8_9|0|913|[]|{"spins": [-1, 1, -1, -1, 1], "rng": 697250257, "times": [1.81805, 0.332555, 1.09915, 1.73214, 0.851874], "spin": -1}||in|||912|recv
720|1.0|0.0|n_1_5|0|720|[]|{"spins": [-1, 1, 1, 1, -1], "rng": 3162033788, "times": [0.306229, 0.382913, 0.933034, 0.228866, 1.08052], "spin": -1}||in|||717|recv
980|3.0|0.0|n_15_4|0|980|[]|{"lastFlipTime": 0.185638, "spins": [1, 1, 1, -1, -1], "rng": 2562209524, "times": [0.702212, 0.742829, 1.65688, 0.642356, 0.84423], "spin": 1}||in|||977|recv
655|1.0|0.0|n_10_15|0|655|[]|{"spins": [1, -1, -1, -1, 1], "rng": 1852612738, "times": [0.840847, 6.57664, 2.99309, 0.517033, 0.628775], "spin": 1}||in|||652|recv
1051|3.0|0.0|n_13_1|0|1051|[]|{"spins": [-1, -1, 1, 1, 1], "rng": 368304652, "times": [3.18347, 1.34615, 3.0035, 1.61473, 2.38793], "spin": -1}||in|||1047|recv
436|0.0|0.0|n_4_15|1|436|[]|{"spins": [-1, 1, -1, 1, -1], "rng": 1288948800, "times": [1.20362, 5.13255, 2.37178, 1.47701, 1.30138], "spin": -1, "rts": 1}||in|||432|recv
1094|3.0|0.0|n_5_15|0|1094|[]|{"lastFlipTime": 0.555115, "spins": [-1, 1, -1, 1, 1], "rng": 698219097, "times": [2.37178, 2.04019, 0.918344, 1.92624, 1.81767], "spin": -1}||in|||1092|recv
709|1.0|0.0|n_13_8|1|709|[]|{"spins": [-1, -1, 1, 1, -1], "rng": 2182703331, "times": [0.67688, 1.36924, 1.28032, 2.17439, 0.868576], "spin": -1, "rts": 1}||in|||707|recv
372|0.0|0.0|n_8_14|0|372|[]|{"lastFlipTime": 0.0677639, "spins": [-1, -1, -1, 1, 1], "rng": 1999324817, "times": [0.832398, 0.180547, 1.00677, 2.06096, 0.225097], "spin": -1}|{"spin": 4294967295, "time": 0.832398}|out|True|1||send
647|1.0|0.0|n_0_12|0|647|[]|{"lastFlipTime": 0.430593, "spins": [1, -1, 1, -1, -1], "rng": 457897510, "times": [2.66915, 0.861376, 1.52188, 0.641938, 1.40888], "spin": 1}|{"spin": 1, "time": 2.66915}|out|True|1||send
391|0.0|0.0|n_4_13|0|391|[]|{"spins": [-1, -1, 1, 1, -1], "rng": 538882527, "times": [2.0757, 2.84589, 4.88399, 5.13255, 0.374498], "spin": -1}||in|||387|recv
441|0.0|0.0|n_6_1|0|441|[]|{"spins": [1, 1, 1, 1, 1], "rng": 229939838, "times": [2.92738, 1.42217, 0.331691, 1.59683, 0.341438], "spin": 1}||in|||437|recv
198|0.0|0.0|n_0_11|0|198|[]|{"spins": [-1, -1, 1, 1, -1], "rng": 1814967916, "times": [0.861376, 0.425861, 1.70049, 0.194286, 1.90366], "spin": -1}||||||init
1255|4.0|0.0|n_3_15|1|1255|[]|{"spins": [-1, -1, 1, 1, -1], "rng": 1168899335, "times": [1.30138, 1.96903, 1.81767, 1.37194, 2.10714], "spin": -1, "rts": 1}||in|||1252|recv
11|0.0|0.0|n_10_10|0|11|[]|{"spins": [-1, -1, 1, -1, -1], "rng": 1855551931, "times": [0.839262, 0.712809, 0.880313, 1.4151, 1.51876], "spin": -1}||||||init
718|1.0|0.0|n_2_6|0|718|[]|{"spins": [1, 1, -1, -1, 1], "rng": 1730325499, "times": [0.924206, 0.933034, 2.82, 0.47047, 0.228866], "spin": 1}||in|||717|recv
